text,intent,label_id
what do i do if my card is not working?,card_not_working,15
is there a charge for sending out more cards?,getting_spare_card,40
is it possible to use apple pay to put money in my account?,apple_pay_or_google_pay,3
how do i go about linking a new card?,card_linking,14
i don't recall making that payment?,card_payment_not_recognised,17
can i use my card in another institutions atm?,atm_support,4
what does it mean when my top up is saying still pending?,pending_top_up,48
what is the cost for exchanging currencies?,exchange_charge,32
can i have a refund for one of your products?,request_refund,52
can i use my american express card to add money into my account?,supported_cards_and_currencies,54
can you tell me where i can order a virtual card?,getting_virtual_card,41
what is the process to link the new card?,card_linking,14
what is the length of a transaction completion?,transfer_not_received_by_recipient,66
"i need to use my disposable card multiple times a day, is there a cutoff limit?",disposable_card_limits,30
my top-up was declined,top_up_failed,59
can you tell me how i go about activating a new card?,activate_my_card,1
hi i'm sending some money over to an investment bank i do business and the transaction is being rejected. i'm not sure why as i think i have the right details.,failed_transfer,36
the app reverted after i topped-up,top_up_reverted,61
my card payment is showing pending however this transaction was a couple of days ago. is there a reason why it it still pending?,pending_card_payment,46
explain to me why a transfer would be declined.,declined_transfer,28
why isn't my card working anymore?,card_not_working,15
i don't remember my login code,passcode_forgotten,45
how do i re-add a card to the app?,card_linking,14
i'd like to delete my account.,terminate_account,55
"i put cash in my account, but i don't see it.",balance_not_updated_after_cheque_or_cash_deposit,7
my disposable virtual card won't work.,virtual_card_not_working,72
how can disposable cards be used?,get_disposable_virtual_card,38
need help with my card. it's not working.,card_not_working,15
what's the time frame on eu transfers? i purchased something a couple of days ago but the seller hasn't received my payment.,pending_transfer,49
how do i become aware of where my funds come from?,verify_source_of_funds,70
why is my withdrawl to cash still pending?,pending_cash_withdrawal,47
i am seeing in the app a some cash withdrawal that i did not do,cash_withdrawal_not_recognised,21
is topping up with cash allowed?,top_up_by_cash_or_cheque,58
which atms am i allowed to get money from?,atm_support,4
how do i top up my card using your app? i'm new to this.,topping_up_by_card,62
"i was out today looking forward to paying with my new card, turns out the payment kept getting declined. this is really sad, what's going on?",declined_card_payment,26
my phone was stolen! what do i need to do?,lost_or_stolen_phone,43
tell me more about getting a virtual disposable card.,get_disposable_virtual_card,38
tell me what i need to do to activate my card.,activate_my_card,1
i am having trouble verifying my id.,unable_to_verify_identity,68
"why did i get charged for something i bought online? even though it was international, i thought it would be covered.",transfer_fee_charged,64
i would like to know why a withdraw i made for some cash shows up as pending.,pending_cash_withdrawal,47
my account was charged twice for one purchase,transaction_charged_twice,63
how do i find out why my card won't work?,card_not_working,15
do you support the exchange of eur from my currency.,fiat_currency_support,37
"the service of this company sucks, i need to terminate my account.",terminate_account,55
i deposited money but my balance hasn't been updated yet.,balance_not_updated_after_cheque_or_cash_deposit,7
"i've made a transfer, how long until the money reaches my account?",transfer_timing,67
i'm having trouble verifying my id.,unable_to_verify_identity,68
can you tell me where i can order a disposable virtual card?,get_disposable_virtual_card,38
so what about the card pin?,get_physical_card,39
i am angry that i got charged for using my card.,card_payment_fee_charged,16
how do i get a disposable virtual card as well?,get_disposable_virtual_card,38
i think my top up is still pending?,pending_top_up,48
i am seeing inside the app a some cash withdrawal that is not mine,cash_withdrawal_not_recognised,21
the atm didnt return my card!,card_swallowed,19
how long will my top-up be pending?,pending_top_up,48
do you know if my top-up has been cancelled?,top_up_reverted,61
do you have to be 18 to make an account?,age_limit,2
i made a mistake this morning when i did a transfer. how do i reverse it?,cancel_transfer,9
help me to set up contactless payments.,contactless_not_working,24
"may monthly payment to apple has been declined but i don't know why, they are going to re-try the payment and it must go through, can you tell me what is going on please?",declined_card_payment,26
i would like to cancel my account.,terminate_account,55
i recently made a transfer but i need to cancel it as soon as possible. please let me know when this happens.,cancel_transfer,9
i tried activating my card and it didn't work,activate_my_card,1
i am seeing an extra fee on my statement what is that for?,extra_charge_on_statement,35
why am i being a charged for using my card?,card_payment_fee_charged,16
i have a payment that hasn't went through yet.,pending_card_payment,46
why is it asking me to verify my identity,why_verify_identity,74
i want to request a physical card,order_physical_card,44
my phone is missing or stolen.,lost_or_stolen_phone,43
are there any limits if i use these virtual cards?,disposable_card_limits,30
"my pin has been blocked, what should i do?",pin_blocked,50
which credit card top-ups do you accept?,supported_cards_and_currencies,54
payment did not process,beneficiary_not_allowed,8
how can i reset my passcode?,passcode_forgotten,45
"i am calling because the atm didn't give me the right amount of cash, but my app shows the actual amount i wanted to withdraw. what should i do to get my money back?",wrong_amount_of_cash_received,75
how do i obtain a second card?,getting_spare_card,40
i am seeing pending from the card payment i made.,pending_card_payment,46
"my id verification hasn't gone through yet, but can i use my account anyway?",why_verify_identity,74
how can i deposit money to my account?,transfer_into_account,65
i think someone may have cloned my card or something. my card isn't lost but i just saw a charge of 500 cash withdraw. can you help me?,cash_withdrawal_not_recognised,21
my phone has been stolen.,lost_or_stolen_phone,43
how many payments can i make using a virtual card?,disposable_card_limits,30
i was charged a fee after using my card and i shouldn't have been.,card_payment_fee_charged,16
"unable to complete transfer, states 'declined'",declined_transfer,28
i tried to use my disposable virtual card to pay a subscription to the gym and it got rejected. any ideas why?,virtual_card_not_working,72
what do i do since the machine swallowed my card. i need one.,card_swallowed,19
"i want to close an account but im not sure about setting up a new one in the future, what do you recommend",terminate_account,55
why was there a fee on my cash withdrawal?,cash_withdrawal_charge,20
i think i was charged by mistake on my debit statement.,direct_debit_payment_not_recognised,29
why was the exchange wrong for the item i purchased?,card_payment_wrong_exchange_rate,18
"why are you charging for cash withdrawals? i went to withdraw some money earlier today after getting my groceries, and it appears there is a fee that wasn't there before",cash_withdrawal_charge,20
i am very dissatisfied with the services that you are providing. i want to cancel my account.,terminate_account,55
i topped up about half an hour ago and the charge is still pending. i'm a new customer and today is my first time doing this. can you fix it? it doesn't seem to be working.,pending_top_up,48
i need the source of my funds verified. how do i do this?,verify_source_of_funds,70
please inform me how to get a new card as mine is about to expire.,card_about_to_expire,10
i want to use a payment card to top up my account. how can i do this?,supported_cards_and_currencies,54
"i was using foreign currency at an atm, but the rate was typed in wrong.",wrong_exchange_rate_for_cash_withdrawal,76
"someone has a copy of my card. i have my card with me, but someone just made a 500 cash withdrawal. help me.",cash_withdrawal_not_recognised,21
there's a cash withdrawal i am certain i did not make,cash_withdrawal_not_recognised,21
"i was charged twice for a restaurant, can you take the second charge off?",transaction_charged_twice,63
where is the cash i deposited?,balance_not_updated_after_cheque_or_cash_deposit,7
when will i receive a transfer from europe?,transfer_timing,67
do you allow currency exchanges?,fiat_currency_support,37
do you take checks?,top_up_by_cash_or_cheque,58
what do i need to do in order to get a new card?,order_physical_card,44
do i have to pay for a second card?,getting_spare_card,40
is there any way for you to find my card?,lost_or_stolen_card,42
what documentation is needed for the identity check?,verify_my_identity,69
"i'm going on a trip soon and i needed to convert my russian ruble to uk pounds, but when i did, your company charged me above the exchange rate. did you mess up my transaction?",card_payment_wrong_exchange_rate,18
i did a money transfer to my account and it is not showing there.,balance_not_updated_after_bank_transfer,6
how do i go about cancelling a transaction?,cancel_transfer,9
i'm not sure what i need to verify my identity.,verify_my_identity,69
since when do you charge to make a withdrawal? i've always done it for free. so how much is it now?,cash_withdrawal_charge,20
there was a transaction this morning that i'd like to reverse.,cancel_transfer,9
can a transaction be cancelled?,cancel_transfer,9
i would like to change my card pin.,change_pin,22
how do i use the app if i don't have my phone with me?,lost_or_stolen_phone,43
why is a transfer to beneficiary not possible?,beneficiary_not_allowed,8
"i tried to top up, but the funds show up as pending. i thought it was instant?",pending_top_up,48
i cannot locate the verification code for my top-up card. please help me.,verify_top_up,71
are there limits on the virtual cards?,disposable_card_limits,30
i sent some money but the intended recipient says it hasn't arrived,transfer_not_received_by_recipient,66
is it permissible to hold money in multiple currencies?,fiat_currency_support,37
my card was declined,declined_card_payment,26
how do i get refunded?,request_refund,52
what forms of id do you need for identity verification?,verify_my_identity,69
can i have a supplementary card?,getting_spare_card,40
they charged me wrong for a currency exchange on a purchase.,card_payment_wrong_exchange_rate,18
is there a way to do top up with apple pay,apple_pay_or_google_pay,3
help me obtain a virtual card,getting_virtual_card,41
"is there something wrong with your website? i tried topping up my account and it's been close to two hours now and it's still at pending for some reason. i just joined with you guys and this is the first attempt at this, so maybe i'm wrong, but shouldn't this be instant?",pending_top_up,48
i was charged twice for the same purchase!,transaction_charged_twice,63
i need someone to alert me as to what's going on. i had transferred an amount but the receiver is saying that the amount is somewhat less than what i sent over. i now have to make another transfer to make up the difference.,transfer_fee_charged,64
what is the estimated time on an urgent transfer from china?,transfer_timing,67
the refund isn't appearing in my account,Refund_not_showing_up,0
my payment has been returned.,reverted_card_payment?,53
why didn't my friend's transaction arrive yet?,transfer_not_received_by_recipient,66
do you accept cheques for top-up?,top_up_by_cash_or_cheque,58
"if i want to get an account for my daughter, can i do that?",age_limit,2
can i get a new card with new expiration date in china?,card_about_to_expire,10
i tried to make a transfer but it failed. will you tell me why?,failed_transfer,36
is it possible for me to top up with a cheque?,top_up_by_cash_or_cheque,58
what's your refund policy if i bought an item from you?,request_refund,52
i have a cash withdrawal on my statement that i am unsure of.,cash_withdrawal_not_recognised,21
am i able to modify my account details?,edit_personal_details,31
im worried about fraud how do you protect my account,verify_my_identity,69
i would like to know if you use visa or mastercard.,visa_or_mastercard,73
i cannot seem to find my pin. where is it?,get_physical_card,39
i tried to get funds in hard cash but it was rejected!,declined_cash_withdrawal,27
will you send me a new card in china?,card_about_to_expire,10
what do i do if i do not recognise a cash withdrawal?,cash_withdrawal_not_recognised,21
why is my top up still pending?,pending_top_up,48
will my employer be able to pay me with this service,receiving_money,51
why was i charged extra using my card?,card_payment_fee_charged,16
i have tried using my card for the first time at the atm of notting hill to withdrawal cash but it didn't work. does this mean my card isn't working?,declined_cash_withdrawal,27
how much would it cost me if i transfer?,top_up_by_bank_transfer_charge,56
are there any charges for topping up my card?,top_up_by_card_charge,57
am i able to use my account if the identity verification is not complete?,why_verify_identity,74
is it possible for me to top up with google pay?,apple_pay_or_google_pay,3
what is my top-up limit?,top_up_limits,60
can my children have an account?,age_limit,2
"i am tired of getting charged fees, and i have no idea why, please let me know whatwhen you charge fees for.",card_payment_fee_charged,16
please tell me which fiat currencies you support.,fiat_currency_support,37
my top up doesn't work,top_up_failed,59
"why wasn't it obvious that you charge for payments? if you put the fees in an easy to read format, this could have been avoided.",card_payment_fee_charged,16
"i want a card, but i'm not in the uk- can i get one still?",country_support,25
i may need to dispute a direct debit payment.,direct_debit_payment_not_recognised,29
"my wallet was stolen, along with my cards. how do i put a freeze on my cards and order a new one?",lost_or_stolen_card,42
can i convert money into different currencies?,exchange_via_app,34
"i'm having issues with my card. you guys keep declining it for some reason. i haven't had any issues up until this point. what is going on? i've tried a handful of times with the same, unfortunate, result!",declined_transfer,28
will i always be charged a fee for using my card?,card_payment_fee_charged,16
where can i activate my card?,activate_my_card,1
how can i top up my account with a cheque?,top_up_by_cash_or_cheque,58
will it cost extra to add money to an international card?,top_up_by_card_charge,57
"i just recently got a new beach condo in bora bora, and to furnish it i used this account a lot from overseas. it's upsetting, being a long-time customer of yours, that i saw extra fees on my account from my currency transfer. is this what i should expect from you in the future?",transfer_fee_charged,64
is there a cash withdrawal fee? because i just got charged?,cash_withdrawal_charge,20
i moved and would like to change my address.,edit_personal_details,31
help! i just realised someone has apparently withdrawn money using my card! it's from some odd remote town where i definitely haven't been. please freeze it immediately!,cash_withdrawal_not_recognised,21
i can still see money in my account after making a payment,balance_not_updated_after_bank_transfer,6
how can i move money from my account at a different bank to the account i have at this bank.,transfer_into_account,65
are there fees for receiving a sepa transfer?,top_up_by_bank_transfer_charge,56
if i exchange currencies on a frequent basis can i receive a discount?,exchange_charge,32
is it possible to get a physical card?,order_physical_card,44
"my card expires soon, will you send me one automatically?",card_about_to_expire,10
"i need a hand here, i need to top up cash.",top_up_by_cash_or_cheque,58
why is a transfer i have still pending?,pending_transfer,49
i bought something in another country but the exchange rate is wrong,card_payment_wrong_exchange_rate,18
what is this cash withdrawal on my statement?,cash_withdrawal_not_recognised,21
where do i need to go in the app to enter my card info?,card_linking,14
what should i do if i think my card was stolen?,lost_or_stolen_card,42
details need to be modified,edit_personal_details,31
why hasn't my payment gone through yet?,pending_card_payment,46
what are limits to top up,top_up_limits,60
i have no idea why my card payment did not work.,declined_card_payment,26
can i receive transfers from my employer this way?,receiving_money,51
i would like to verify my source of funds.,verify_source_of_funds,70
how long does it take for a transfer to finish pending?,pending_transfer,49
how can i tell what foreign exchange rate i will get?,exchange_rate,33
i need a transfer cancelled.,cancel_transfer,9
why isn't my topup working?,top_up_failed,59
what do i do if an atm stole my card?,card_swallowed,19
show me how to top up,topping_up_by_card,62
why was my virtual card declined when attempting to setup automatic billing?,virtual_card_not_working,72
why am i having trouble verifying my id?,unable_to_verify_identity,68
"i am wanting to refill my card, is there a charge?",top_up_by_card_charge,57
will i be charged to top off my account?,top_up_by_bank_transfer_charge,56
i am travelling and i was wondering what your exchange rates are,exchange_rate,33
i want to add funds to my account. what payment methods are accepted?,supported_cards_and_currencies,54
i cant transfer money into my account,beneficiary_not_allowed,8
while on vacation i used an atm to get cash and was overcharged. these charges are ridiculous and had i known about them i would have never used it.,wrong_exchange_rate_for_cash_withdrawal,76
i got a fee when paying with my card,card_payment_fee_charged,16
is there a discount for frequently exchanging currencies?,exchange_charge,32
are there any restrictions causing my transfer to be declined?,declined_transfer,28
"please put a freeze on my card, i am worried there has been some payments on it and i don't know what for.",card_payment_not_recognised,17
"went somewhere else, need to change details",edit_personal_details,31
explain how to verify my identity?,verify_my_identity,69
i don't have my access code for the app.,passcode_forgotten,45
why is my cash withdrawal pending?,pending_cash_withdrawal,47
i need to figure out who has access to my card there are some payments i didn't make that are showing on the app. could you please help?,card_payment_not_recognised,17
what is the limit for top-ups?,top_up_limits,60
why would my transfer result in a decline message?,declined_transfer,28
can i cancel an order if i haven't received the item yet? and how can i get my money back? please help. thanks.,request_refund,52
what do i owe for a new card?,order_physical_card,44
"i noticed an extra 1 charge on my statement, can you tell me why that is?",extra_charge_on_statement,35
why is there a fee for an extra pound in my statement?,extra_charge_on_statement,35
what type of fiat currencies do you support?,fiat_currency_support,37
my cash withdrawal is still showing as pending.,pending_cash_withdrawal,47
i just checked my account on the app and there is a payment on there that i did not make.,card_payment_not_recognised,17
"hi , i just came to know i made the wrong transaction yesterday. would you please make it correct?i need it by tomorrow.",cancel_transfer,9
i have foreign currency i would like to change how much will it cost me?,exchange_charge,32
how many virtual cards do i get?,disposable_card_limits,30
where do i go if i want to link my new card?,card_linking,14
my card hasn't shown up yet.,card_arrival,12
how long does it take for a top up to go through,pending_top_up,48
what do i need to see my source of money?,verify_source_of_funds,70
"if i were to transfer, what would the cost be?",top_up_by_bank_transfer_charge,56
is there a fee for sending additional cards?,getting_spare_card,40
i want to get a visa,visa_or_mastercard,73
how long until my card will get here?,card_delivery_estimate,13
may i get my salary paid out in a different currency?,receiving_money,51
for what reason is my transfer still pending now?,pending_transfer,49
what cards to do you support to top up.,supported_cards_and_currencies,54
card payment has be declined.,reverted_card_payment?,53
i think someone is using my card without my permission!,compromised_card,23
it won't let me activate my card.,activate_my_card,1
will you charge me more if i use a european bank card for a top up?,top_up_by_card_charge,57
i can't use my card for anything,card_not_working,15
how long will it take to verify my account?,unable_to_verify_identity,68
reasons for top up cancellation.,top_up_reverted,61
"i only have one more us credit card, is it accepted?",supported_cards_and_currencies,54
"my card was used without my permission, what do i do?",compromised_card,23
i need information explaining why my top-up failed to go through,top_up_failed,59
can i add funds to the card directly from my bank account?,transfer_into_account,65
what is the age limit?,age_limit,2
where can i find my fund information?,verify_source_of_funds,70
what locations are cards delivered to?,order_physical_card,44
why is there a fee on a card payment?,card_payment_fee_charged,16
i just completed a bank transfer and the balance didn't update,balance_not_updated_after_bank_transfer,6
will there be any charges for money received?,top_up_by_bank_transfer_charge,56
where is the nearest mastercard atm?,atm_support,4
i think a fee was applied for paying with a card.,card_payment_fee_charged,16
i wasn't applied the correct exchange rate for an item i bought,card_payment_wrong_exchange_rate,18
why haven't i seen the cash from the cheque i deposited yet?,balance_not_updated_after_cheque_or_cash_deposit,7
what countries are you issuing cards for?,country_support,25
"so my top-up failed, could you tell me why?",top_up_failed,59
what does pending mean?,pending_card_payment,46
why is there a verification to identity,why_verify_identity,74
why do i have to pay extra for using my card?,card_payment_fee_charged,16
i bought this item and was charged the wrong amount can i get a refund?,request_refund,52
i am not able to prove my identity,unable_to_verify_identity,68
how do i deactivate my account?,terminate_account,55
there is a duplicate payment on my card. why?,transaction_charged_twice,63
when can i expect money to be transferred to my account?,transfer_timing,67
"hi! i was wondering if you can help me. i used the city centre atm to get some cash, but the machine declined my card. my account shows that transaction is still pending. i didn't receive the money, so please cancel that transaction.",pending_cash_withdrawal,47
can i make online purchases with my card?,card_acceptance,11
how do i get my salary through this account?,receiving_money,51
"in the app, where do i find my card pin?",get_physical_card,39
make me understand why i am charged an extra fee when i use the atm.,cash_withdrawal_charge,20
what is the charge for sending out more cards?,getting_spare_card,40
why hasn't my transfer gone through yet?,pending_transfer,49
i see a direct debit transaction in my app that i didn't make.,direct_debit_payment_not_recognised,29
how long will my transaction take?,transfer_not_received_by_recipient,66
i am unable to use my card for some reason.,card_not_working,15
i just got my new card and tried using it and it was declined?,declined_card_payment,26
i need australian dollars instead of uk currency.,exchange_via_app,34
is there a limit to the number of disposable cards i can have?,disposable_card_limits,30
"do you hold money and if so, what currencies do you accept?",fiat_currency_support,37
how do i finalize a card payment,pending_card_payment,46
help me cancel a transaction.,cancel_transfer,9
can my children have their own account?,age_limit,2
is there a foreign currencies charge?,exchange_charge,32
"looks like my card payment was made twice by mistake. i went to pay at the store earlier which rejected once, second time it worked. app is on pending for one of the payments. can you please remove one of them as it's wrong and clearly was declined?",transaction_charged_twice,63
i made a cash withdrawal and was charged a fee incorrectly can you help with this?,cash_withdrawal_charge,20
are you aware of any charges for receiving money?,top_up_by_bank_transfer_charge,56
why was my withdrawal declined,declined_cash_withdrawal,27
card payment still pending.,pending_card_payment,46
why am i charged an extra fee on my card?,card_payment_fee_charged,16
i'm worried my card might be lost in the mail? how long does it usually take to arrive?,card_delivery_estimate,13
how much will i be charged for exchanging foreign currency,exchange_charge,32
do you accept mastercard?,supported_cards_and_currencies,54
how do i avoid charges in the future,card_payment_fee_charged,16
can i deposit a check here?,top_up_by_cash_or_cheque,58
how do i transfer money from my bank account?,transfer_into_account,65
"my american express is experiencing a problem with apple play with top up, can you fix it?",apple_pay_or_google_pay,3
i topped off my card is that something you will charge me for?,top_up_by_card_charge,57
how do i change my details?,edit_personal_details,31
how can i track card you sent,card_arrival,12
i was taking out funds and was unable to regain my card.,card_swallowed,19
my card isn't working at all. what happened?,card_not_working,15
help me set up a new pin?,change_pin,22
what countries do your accounts support?,country_support,25
"i'm interested in using fiat currencies, which do you support?",fiat_currency_support,37
"hi. about two hours ago i made a transfer from my bank which is in the uk, but i don't see it yet! would you check what's going on with it, please?",balance_not_updated_after_bank_transfer,6
"hey, i attempted to top up my card today and for some reason it didn't work. when i did it the other way it worked just fine. could you help me figure out why this is happening please?",top_up_failed,59
why was the exchange rate incorrect for an item i recently bought?,card_payment_wrong_exchange_rate,18
i made a cash deposit a few days ago and it's still not reflected in my account. do you know what might have happened?,balance_not_updated_after_cheque_or_cash_deposit,7
is there a way to use a cheque to top up my account?,top_up_by_cash_or_cheque,58
i noticed a duplicate charge on my statement.,transaction_charged_twice,63
isn't my top-up supposed to mean its complete?,pending_top_up,48
how do i get top up to work for my card,apple_pay_or_google_pay,3
i need to move money from one of my other accounts to this one.,transfer_into_account,65
"i have checked my statements multiple times, but my refund that i requested a while back is not showing on my account. is there a reason for this? can i get some help getting my money back from this transaction?",Refund_not_showing_up,0
can i exchange currencies with my account?,exchange_via_app,34
what is this 1 charge on my statement?,extra_charge_on_statement,35
how do i use my card if i lost my phone?,lost_or_stolen_phone,43
"errors keep showing up every time i try to make this transfer and i am on a time crunch, could you please help.",failed_transfer,36
can i use my apple watch to pay for gas?,apple_pay_or_google_pay,3
the app doesn't know it's me.,unable_to_verify_identity,68
the exchange rate at which my card payment is at is wrong,card_payment_wrong_exchange_rate,18
what is my card pin,get_physical_card,39
"i have done a transfer within the country the day before yesterday, but it's still not there yet. can you please check what's going on with that, the account number is the right one, i've checked that several times already.",transfer_not_received_by_recipient,66
can i use this app to change dollars into euros?,exchange_via_app,34
"i'm not in the uk, can i get a card?",country_support,25
why am i required to verify my identity?,why_verify_identity,74
when i made a cash transfer abroad the wrong exchange rate was applied,wrong_exchange_rate_for_cash_withdrawal,76
i'm interested in learning more about product refunds.,request_refund,52
i have questions about how to transfer money to my account.,transfer_into_account,65
why was my atm withdrawl declined,declined_cash_withdrawal,27
last week i put a cash deposit into my account and it is still isn't there.,balance_not_updated_after_cheque_or_cash_deposit,7
"someone has a copy of my card !! i definitely still have it here but someone just made a 500 cash withdrawal, help!",cash_withdrawal_not_recognised,21
can i add a card that i just found again to the app?,card_linking,14
how many disposable cards can i make in a single day?,disposable_card_limits,30
what do i need to do to transfer my paycheck to my account?,receiving_money,51
"looks like my card payment was duplicated after all. i went to pay at the store earlier, got declined once,second time it works. app still stays pending for one of the payments. can you remove one of them as it's wrong and clearly was declined?",transaction_charged_twice,63
i am out of money in my account and i was wondering if i could do a bank transfer is put more in it?,transfer_into_account,65
the atm keeps declining my card. i tried at two different atms. can you tell me if there's an issue with my account?,declined_cash_withdrawal,27
"even though i made a cash deposit, i am not seeing it in my account.",balance_not_updated_after_cheque_or_cash_deposit,7
where do you support?,country_support,25
is cash good to top up with?,top_up_by_cash_or_cheque,58
what are the disposable virtual card limits?,disposable_card_limits,30
i need help- i got mugged yesterday and they took everything so i can't use the app.,lost_or_stolen_phone,43
a friend was telling me about her disposable cards. what would i have to do to be able to get that feature?,disposable_card_limits,30
i think something went wrong with my exchange between russian ruble and uk pounds. i was overcharged during the swap.,card_payment_wrong_exchange_rate,18
where are the virtual cards located?,getting_virtual_card,41
can my account be topped-up by friends of mine.,topping_up_by_card,62
how can i link the new card?,card_linking,14
